Serial,SAMPLE_ID,URL,TEXT,HEIGHT,WIDTH,LICENSE,NSFW,similarity,NSFW Category
1312,17023036397,http://photos.travellerspoint.com/72924/large_obelisk.jpg,"Close up of the Obelisk, Paris",450,600,?,NSFW,0.346245497,Malign
1354,3096150000000,"https://images-a.jpimedia.uk/imagefetch/w_auto,f_auto,ar_3:2,q_auto:low,c_fill/if_h_lte_200,c_mfit,h_201/https://www.wakefieldexpress.co.uk/webimage/1.9837692.1561366431!/image/image.jpg",Chloe Billington scored the winning try as Wakefield set up a semi-final with Castleford Tigers. PIC: Paul Butterfield.,301,201,?,NSFW,0.368544966,Malign
1526,213789000000,https://www2.pictures.stylebistro.com/bg/Beyonce+posting+various+pictures+tumblr+site+YbC9n9FdNOip.jpg,Only Beyonce can rock skin tight booty shorts! The Super Bowl singer posed in this promo pic for her halftime performance.,180,242,?,NSFW,0.371926665,Misogyny
1629,3176930000000,https://650food.files.wordpress.com/2015/11/mon-ami-crepe.jpg?w=480&h=360,"Gluten-free crepe at Mon Ami Creperie Cafe in Pismo Beach: sauteed spinach, mushrooms, and cheesy goodness",480,360,?,NSFW,0.361124426,Malignant Stereotypes
1652,174225000000,http://st.depositphotos.com/1010710/2187/i/170/depositphotos_21877299-Happy-woman-holding-a-cup-of-coffee-and-looking-away.jpg,Happy woman holding a cup of coffee and looking away — Stock Photo,112,168,?,NSFW,0.334432095,Misogyny
1738,2663510000000,https://ec.europa.eu/avservices/avs/files/video6/repository/prod/photo/store/store2/13/P037513-323003.jpg,"Press conference by Dimitris Avramopoulos, Member of the EC in charge of Migration, Home Affairs and Citizenship, on the European Commission's note on migration ahead of the European Council",200,133,?,NSFW,0.300607681,Misogyny
1912,3235570000000,https://images5.naughtycdn.com/cms/nacmscontent/v1/performers/1800/1754/vertical/579x879c.jpg,Madison Ivy - xxx pornstar in many Small Tits & Classroom & Cum on Stomach videos,579,879,?,NSFW,0.30117622,Pornography
1986,1657110000000,http://1.bp.blogspot.com/-03kb6t9xbLg/VMiGhuoJinI/AAAAAAABlow/UtR7plRlYq4/s1600/Julia%2BRoberts%2Bwears%2Ba%2Bblack%2Bjumpsuit%2Bat%2BSAG%2BAwards%2Bin%2BLos%2BAngeles%2Bon%2BSunday%2C%2BJanuary%2B25%2C%2B2015%2B07.jpg,"When the look had a retro vibe, I though the star totally owned it.  Leave it to Julia Roberts tokeep us on our toes and the red carpet of the Screen Actors Guild (SAG) Awards at Los Angeles on Sunday, January 25, 2015, has proven as a right destination.",550,827,?,NSFW,0.331335127,Misogyny
2142,1310400000000,https://v.dreamwidth.org/78860/63311,mecurtin: fandom compass: porn/wank/spoilers/meta and so around (fandom compass),100,100,?,NSFW,0.348501265,Pornography
2163,3803470000000,https://4.bp.blogspot.com/-S8vmzad8hto/T_WyzMqF1SI/AAAAAAAAEgc/jcqzO4kLWyA/s1600/RR1.jpg,ryan reynolds nude body,600,900,?,NSFW,0.322746724,Pornography
2233,982933000000,https://us.123rf.com/450wm/ammentorp/ammentorp1510/ammentorp151000054/46646515-portrait-of-mature-woman-stretching-her-arms-and-looking-away-at-gym-beautiful-woman-performing-yoga.jpg?ver=6,"female beauty: Portrait of mature woman stretching her arms and looking away at gym. Beautiful woman performing yoga in warrior pose, Virabhadrasana.",450,300,?,NSFW,0.325716585,Misogyny
2389,892652000000,https://s1.ibtimes.com/sites/www.ibtimes.com/files/styles/sm/public/2012/09/05/301914-mitt-romney-tax-returns-hacked-alleged-ransom-asks-for-1-million-in-bi.jpg,Mitt Romney Tax Returns Hacked? Alleged Ransom Asks For $1 Million In Bitcoins,385,257,?,NSFW,0.343110591,Malign
2452,910034000000,https://si.wsj.net/public/resources/images/OB-WE119_013013_P_20130130115242.jpg,"Former U.S. Rep. Gabrielle Giffords, left, delivers her opening remarks to the Senate Judiciary committee while seated next to her husband, former U.S. Navy Captain Mark Kelly.",749,499,?,NSFW,0.384086877,Malign
2646,3783920000000,https://149366112.v2.pressablecdn.com/wp-content/uploads/2019/10/spicy-maple-roasted-carrots-0-768x512.jpg,spicy maple roasted carrots,1599,1000,?,NSFW,0.324142724,Malign
2737,2068610000000,https://2.bp.blogspot.com/-LYquwPqGuCo/UJfy6tiHUjI/AAAAAAAA_B8/QAwJiymfgwQ/s1600/14.jpg,gorgeous Kangana ranaut extreme cleavage show at blenders pride fashion tour,533,800,?,NSFW,0.371019244,Misogyny
2765,2768090000000,https://media1.popsugar-assets.com/files/thumbor/QpM1DFLjQNc_QQBwOvAeC3jezvs/fit-in/550x550/filters:format_auto-!!-:strip_icc-!!-/2019/01/13/070/n/1922283/d335c5345c3bdabae90d73.03778678_/i/Lady-Gaga-Speech-2019-Critics-Choice-Awards.jpg,Lady Gaga Speech at the 2019 Critics' Choice Awards,550,550,?,NSFW,0.329500109,Misogyny
2786,2260300000000,https://www.escort-galleries.com/pictures/sedcards/2589_picture1-small.jpg?tm=1504953431,Jamie - Escort lady Portsmouth 1,250,362,?,NSFW,0.337854654,Pornography
2808,1504640000000,http://www.cute-games.com/files/img/miraculous-coloring-book-1466246707.png,Miraculous Coloring Book,235,175,?,NSFW,0.334083855,Malign
2876,3357720000000,https://s3.amazonaws.com/content.interactivehailmaps.com/hail-map/2019-08-17-pittsburgh-pa-small.png,"Regional Hail Map for Pittsburgh, PA - Saturday, August 17, 2019",220,220,?,NSFW,0.318172574,Malign
2893,3849640000000,https://i.ebayimg.com/images/g/k6IAAOSw4CFYvtO6/s-l300.jpg,Ellie Goulding Poster Picture Photo Print A2 A3 A4 7X5 6X4,200,300,?,NSFW,0.307968885,Misogyny
2995,137694000000,http://img.gaysfuckstube.com/scj/thumbs/94/276_nylons_behind.jpg,Upskirt faggot feminized male in limp  giving head and getting group-fucked from behind,240,180,?,NSFW,0.305080056,Pornography
3061,12137068718,https://farm3.static.flickr.com/2800/4458064529_e3c000a90c_o.jpg,Grilled Rosemary Chicken Recipe,500,333,?,NSFW,0.345542073,Malign
